person_id	positive	negative	stats	gameplay	physical	status	contract	nationality
albies000ozh	3	0	5	0	1	0	0	1
alcant000san	3	0	5	2	0	0	0	0
alonso000pet	1	1	6	0	2	0	0	0
altuve001jos	4	0	6	0	0	0	0	0
alvare000yor	1	0	7	0	1	0	0	1
anders003tim	5	3	1	1	0	0	0	0
arenad001nol	2	0	6	0	0	0	2	0
arraez000lui	4	0	6	0	0	0	0	0
assad-000jav	3	1	3	2	0	1	0	0
bader-000har	0	1	7	0	2	0	0	0
baez--000jav	4	1	1	1	0	0	2	1
bassit000chr	3	0	3	0	2	1	1	0
bell--007jos	2	0	4	0	3	0	1	0
bellin000cod	3	1	4	0	1	0	1	0
benint000and	3	1	3	0	3	0	0	0
berrio000jos	2	0	4	0	2	0	1	1
betts-000mar	4	0	2	1	1	0	2	0
bichet000bo-	5	0	1	0	2	0	0	2
bogaer001xan	3	0	3	0	1	1	2	0
boyd--000mat	3	0	4	0	1	1	1	0
bregma001ale	2	1	6	0	1	0	0	0
brown-009ben	2	2	3	3	0	0	0	0
bryant001kri	4	0	2	0	2	0	2	0
burnes000cor	6	0	4	0	0	0	0	0
busch-002mic	1	1	5	1	2	0	0	0
buxton000byr	1	2	3	0	0	4	0	0
castel002nic	3	1	3	0	0	1	2	0
castil013lui	2	0	4	0	3	0	1	0
castro003wil	2	0	3	1	3	1	0	0
cease-000dyl	6	0	3	0	1	0	0	0
confor001mic	4	2	2	0	0	0	2	0
correa000car	2	0	4	0	2	1	1	0
crow-a000pet	0	1	0	5	4	0	0	0
darvis001yu-	3	1	3	0	0	0	1	2
degrom001jac	3	3	1	0	1	2	0	0
devers000raf	3	2	4	1	0	0	0	0
diaz--004edw	4	4	0	0	2	0	0	0
duran-000jho	5	0	4	0	0	0	1	0
eovald001nat	4	1	4	0	1	0	0	0
flaher000jac	2	1	4	0	1	2	0	0
flores003wil	2	1	2	0	4	1	0	0
frazie001ada	3	1	2	0	3	0	1	0
freema002fre	6	0	4	0	0	0	0	0
fried-001max	6	1	2	0	0	1	0	0
fulmer002mic	1	0	5	0	1	2	1	0
gausma001kev	5	0	4	0	1	0	0	0
gibson002kyl	5	0	3	0	1	1	0	0
giolit000luc	7	1	1	0	1	0	0	0
glasno000tyl	0	4	4	0	1	1	0	0
goldsc001pau	3	0	7	0	0	0	0	0
gray--001son	3	1	4	0	1	0	1	0
grichu001ran	4	0	5	0	0	0	1	0
hader-000jos	5	0	3	0	0	0	2	0
happ--000ian	1	3	4	2	0	0	0	0
harper002bry	4	0	6	0	0	0	0	0
heaney001and	2	2	3	0	1	2	0	0
hendri001kyl	1	1	4	1	1	2	0	0
hernan000teo	5	1	4	0	0	0	0	0
heywar001jas	3	3	0	0	1	0	3	0
hill--002ric	3	1	4	0	1	1	0	0
hoerne000nic	3	1	2	2	2	0	0	0
horton000cad	2	0	2	3	1	2	0	0
hoskin000rhy	1	0	7	1	0	1	0	0
iglesi001jos	6	0	2	0	1	1	0	0
imanag000sho	0	3	2	1	0	0	2	2
jansen001ken	5	1	2	1	0	0	0	1
judge-001aar	2	1	3	0	2	0	1	1
julien000edo	0	1	6	1	2	0	0	0
keller000mit	1	3	5	0	1	0	0	0
kelly-001car	5	0	2	0	1	1	1	0
kepler001max	3	1	6	0	0	0	0	0
kersha001cla	2	0	3	0	1	3	1	0
kimbre001cra	3	2	4	0	0	0	1	0
larnac000tre	1	0	6	0	3	0	0	0
lewis-002roy	2	0	1	2	3	2	0	0
lindor000fra	3	0	6	0	1	0	0	0
lugo--000jac	7	1	0	1	1	0	0	0
machad001man	2	0	7	1	0	0	0	0
maeda-001ken	2	1	2	0	1	2	0	2
manaea000sea	2	2	4	0	0	2	0	0
